Method;AmountOfOptions;LengthOfPayload;Mean;Error;StdDev;Gen0;Gen1;Gen2;Allocated
Deserialize;0;0;1.679;0.0310;0.0275;0.3948;-;-;2KB
Deserialize;0;1024;3.683;0.0712;0.0666;1.6327;-;-;6KB
Deserialize;0;4096;6.570;0.0678;0.0530;2.9373;-;-;10KB
Deserialize;0;65536;98.533;1.8525;1.9822;83.2520;83.2520;83.2520;258KB
Deserialize;0;131072;175.433;1.3566;1.2026;166.5039;166.5039;166.5039;514KB
Deserialize;1024;0;1030.051;9.6583;9.0344;196.2891;97.6563;-;1,075KB
Deserialize;1024;1024;1014.093;6.1471;5.1331;191.4063;95.7031;-;1,079KB
Deserialize;1024;4096;1027.275;9.5509;8.9339;192.3828;95.7031;-;1,091KB
Deserialize;1024;65536;1631.388;38.9956;114.3674;273.4375;191.4063;76.1719;1,331KB
Deserialize;1024;131072;1781.418;35.2748;71.2567;332.0313;277.3438;144.5313;1,587KB
Deserialize;4096;0;6477.162;129.3902;163.6372;726.5625;328.1250;101.5625;4,291KB
Deserialize;4096;1024;6711.475;133.2189;259.8331;734.3750;335.9375;93.7500;4,295KB
Deserialize;4096;4096;6558.996;130.5046;339.1988;742.1875;343.7500;109.3750;4,307KB
Deserialize;4096;65536;6924.552;137.4221;261.4598;804.6875;421.8750;85.9375;4,547KB
Deserialize;4096;131072;7530.808;147.7269;175.8583;843.7500;460.9375;148.4375;4,803KB
Deserialize;65536;0;166612.138;3,300.2174;3,241.2547;11666.6667;4333.3333;666.6667;68,613KB
Deserialize;65536;1024;190898.380;3,756.8801;4,885.0053;11750.0000;4500.0000;1000.0000;68,617KB
Deserialize;65536;4096;190316.150;3,778.9048;6,716.9994;12000.0000;4750.0000;1000.0000;68,629KB
Deserialize;65536;65536;195944.825;3,911.2806;8,585.3557;11750.0000;4500.0000;1000.0000;68,869KB
Deserialize;65536;131072;170582.006;3,144.9051;6,494.7744;11666.6667;4333.3333;666.6667;69,125KB
Deserialize;131072;0;286105.657;4,145.7348;3,675.0859;22000.0000;7000.0000;-;137,225KB
Deserialize;131072;1024;285783.220;4,849.2919;4,536.0307;22000.0000;7000.0000;-;137,227KB
Deserialize;131072;4096;282355.564;4,535.0488;4,020.2027;22000.0000;7000.0000;-;137,239KB
Deserialize;131072;65536;292059.675;5,689.0265;5,587.3847;22000.0000;7000.0000;-;137,481KB
Deserialize;131072;131072;304488.343;5,960.5795;11,484.0131;22000.0000;7000.0000;-;137,735KB
