Method;AmountOfOptions;LengthOfPayload;Mean;Error;StdDev;Gen0;Allocated
SerializeAsync;0;0;5.618;0.0390;0.0345;0.0839;376B
SerializeAsync;0;1024;5.658;0.0258;0.0215;0.0839;376B
SerializeAsync;0;4096;5.710;0.0276;0.0231;0.0839;376B
SerializeAsync;0;65536;7.356;0.0524;0.0464;0.0839;376B
SerializeAsync;0;131072;9.347;0.0350;0.0327;0.0763;376B
SerializeAsync;1024;0;857.681;5.6334;5.2695;113.2813;475,569B
SerializeAsync;1024;1024;864.956;8.3344;7.7960;113.2813;475,570B
SerializeAsync;1024;4096;874.255;11.4655;9.5742;113.2813;475,571B
SerializeAsync;1024;65536;853.992;7.4185;6.9393;113.2813;475,569B
SerializeAsync;1024;131072;878.702;7.5007;7.0161;113.2813;475,569B
SerializeAsync;4096;0;3415.820;20.0413;18.7467;453.1250;1,900,983B
SerializeAsync;4096;1024;3520.379;34.5694;32.3363;453.1250;1,900,976B
SerializeAsync;4096;4096;3415.203;28.1909;26.3698;453.1250;1,900,976B
SerializeAsync;4096;65536;3517.490;29.9689;26.5667;453.1250;1,900,981B
SerializeAsync;4096;131072;3533.880;41.2242;36.5442;453.1250;1,900,976B
SerializeAsync;65536;0;57919.596;667.7145;624.5805;7200.0000;30,409,136B
SerializeAsync;65536;1024;55995.639;537.3204;476.3206;7200.0000;30,409,136B
SerializeAsync;65536;4096;54769.243;426.8328;378.3761;7200.0000;30,409,136B
SerializeAsync;65536;65536;56494.925;574.7165;537.5901;7200.0000;30,409,136B
SerializeAsync;65536;131072;56286.964;373.1133;349.0104;7200.0000;30,409,136B
SerializeAsync;131072;0;112894.956;947.4691;839.9067;14400.0000;60,817,941B
SerializeAsync;131072;1024;110892.868;1,111.1807;1,039.3991;14400.0000;60,818,109B
SerializeAsync;131072;4096;109851.123;1,410.9865;1,178.2376;14400.0000;60,820,210B
SerializeAsync;131072;65536;111436.460;688.9756;610.7590;14400.0000;60,818,109B
SerializeAsync;131072;131072;112449.316;685.4489;607.6326;14400.0000;60,818,109B
