Method;AmountOfOptions;LengthOfPayload;Mean;Error;StdDev;Gen0;Gen1;Gen2;Allocated
Serialize;0;0;5.142;0.0683;0.0639;0.0687;-;-;288B
Serialize;0;1024;5.867;0.0751;0.0702;0.3281;-;-;1,384B
Serialize;0;4096;7.186;0.0671;0.0628;1.0757;-;-;4,504B
Serialize;0;65536;23.527;0.2614;0.2183;15.5945;3.1128;-;66,040B
Serialize;0;131072;49.680;0.5993;0.5606;41.6260;41.6260;41.6260;131,600B
Serialize;1024;0;551.922;9.4106;10.0692;175.7813;76.1719;76.1719;681,589B
Serialize;1024;1024;569.763;11.1684;17.7143;175.7813;76.1719;76.1719;682,612B
Serialize;1024;4096;570.333;11.2692;15.0440;175.7813;76.1719;76.1719;685,693B
Serialize;1024;65536;563.479;5.4708;4.8498;195.3125;95.7031;95.7031;747,134B
Serialize;1024;131072;594.334;6.3800;5.6557;209.9609;110.3516;110.3516;812,665B
Serialize;4096;0;2758.439;55.0103;105.9861;808.5938;410.1563;410.1563;4,821,823B
Serialize;4096;1024;2659.178;40.6188;37.9949;800.7813;402.3438;402.3438;4,822,917B
Serialize;4096;4096;2596.436;46.9202;64.2249;875.0000;476.5625;476.5625;4,825,775B
Serialize;4096;65536;2507.161;49.8926;101.9173;894.5313;496.0938;496.0938;4,887,220B
Serialize;4096;131072;2559.126;19.1575;15.9973;890.6250;492.1875;492.1875;4,952,758B
Serialize;65536;0;58896.194;1,159.8829;1,872.9947;7333.3333;1000.0000;1000.0000;108,594,097B
Serialize;65536;1024;58689.037;1,169.1967;1,639.0505;7200.0000;900.0000;900.0000;108,595,122B
Serialize;65536;4096;58655.719;1,165.0065;1,707.6514;7200.0000;900.0000;900.0000;108,598,179B
Serialize;65536;65536;59328.566;1,168.5292;1,638.1147;7333.3333;1000.0000;1000.0000;108,659,633B
Serialize;65536;131072;57420.750;1,129.7427;2,008.1165;7100.0000;800.0000;800.0000;108,725,176B
Serialize;131072;0;117807.577;2,353.7162;6,482.8180;13800.0000;1200.0000;1200.0000;219,284,480B
Serialize;131072;1024;119120.364;2,359.3323;6,132.2185;13200.0000;600.0000;600.0000;219,285,437B
Serialize;131072;4096;120061.250;2,387.2366;5,989.1099;13800.0000;1200.0000;1200.0000;219,289,669B
Serialize;131072;65536;120002.202;2,372.2717;5,207.1938;13800.0000;1200.0000;1200.0000;219,349,986B
Serialize;131072;131072;120453.645;2,374.0783;5,595.9819;13800.0000;1200.0000;1200.0000;219,415,507B
